code,year,month,value
,1948,01,64.2
,1948,02,64.6
,1948,03,64.3
,1948,04,64.8
,1948,05,64.3
,1948,06,65
,1948,07,65.4
,1948,08,65
,1948,09,65.4
,1948,10,65
,1948,11,64.9
,1948,12,65.1
,1949,01,64.9
,1949,02,65
,1949,03,64.9
,1949,04,64.9
,1949,05,65.3
,1949,06,65.3
,1949,07,65.3
,1949,08,65.4
,1949,09,65.3
,1949,10,65.7
,1949,11,65.4
,1949,12,65.2
,1950,01,64.9
,1950,02,64.9
,1950,03,65.1
,1950,04,65.5
,1950,05,65.6
,1950,06,66.1
,1950,07,65.8
,1950,08,66
,1950,09,65.7
,1950,10,65.9
,1950,11,66
,1950,12,65.7
,1951,01,66
,1951,02,65.8
,1951,03,66.2
,1951,04,65.9
,1951,05,66.2
,1951,06,65.6
,1951,07,66.4
,1951,08,66.3
,1951,09,66.3
,1951,10,66.7
,1951,11,66.5
,1951,12,66.8
,1952,01,66.7
,1952,02,67
,1952,03,66.7
,1952,04,66.5
,1952,05,66.6
,1952,06,66.6
,1952,07,66.4
,1952,08,66.3
,1952,09,66.9
,1952,10,66.3
,1952,11,66.7
,1952,12,66.8
,1953,01,67.3
,1953,02,67.1
,1953,03,67.4
,1953,04,66.9
,1953,05,66.3
,1953,06,66.7
,1953,07,66.8
,1953,08,66.5
,1953,09,66.6
,1953,10,66.8
,1953,11,67.2
,1953,12,66.9
,1954,01,66.8
,1954,02,67.5
,1954,03,67.2
,1954,04,67.3
,1954,05,67.2
,1954,06,67.1
,1954,07,66.8
,1954,08,66.8
,1954,09,67.3
,1954,10,67
,1954,11,67
,1954,12,66.8
,1955,01,67.2
,1955,02,67
,1955,03,67
,1955,04,67.5
,1955,05,67.3
,1955,06,67.5
,1955,07,67.8
,1955,08,68
,1955,09,67.8
,1955,10,67.9
,1955,11,67.9
,1955,12,68.2
,1956,01,68.4
,1956,02,67.9
,1956,03,68
,1956,04,68
,1956,05,68.2
,1956,06,68.2
,1956,07,68.2
,1956,08,68.2
,1956,09,68.3
,1956,10,68.1
,1956,11,68.2
,1956,12,68.1
,1957,01,67.9
,1957,02,68.3
,1957,03,68.4
,1957,04,68.3
,1957,05,68.2
,1957,06,68.4
,1957,07,68.6
,1957,08,68.1
,1957,09,68.4
,1957,10,68.5
,1957,11,68.5
,1957,12,68.4
,1958,01,68.3
,1958,02,68.2
,1958,03,68.3
,1958,04,68.6
,1958,05,68.7
,1958,06,68.7
,1958,07,68.8
,1958,08,69.1
,1958,09,68.8
,1958,10,68.8
,1958,11,68.5
,1958,12,68.6
,1959,01,68.7
,1959,02,68.5
,1959,03,68.8
,1959,04,68.8
,1959,05,68.7
,1959,06,68.8
,1959,07,68.8
,1959,08,68.5
,1959,09,68.5
,1959,10,68.8
,1959,11,68.6
,1959,12,68.8
,1960,01,68.6
,1960,02,68.8
,1960,03,68.2
,1960,04,68.9
,1960,05,68.9
,1960,06,69.1
,1960,07,69.1
,1960,08,69.2
,1960,09,69.4
,1960,10,69
,1960,11,69.3
,1960,12,69.1
,1961,01,68.9
,1961,02,68.8
,1961,03,69.2
,1961,04,69.1
,1961,05,69.3
,1961,06,69.6
,1961,07,69.2
,1961,08,68.9
,1961,09,68.8
,1961,10,69.1
,1961,11,68.8
,1961,12,68.7
,1962,01,68.8
,1962,02,69
,1962,03,68.9
,1962,04,68.9
,1962,05,69
,1962,06,69
,1962,07,68.9
,1962,08,69.4
,1962,09,69.4
,1962,10,69
,1962,11,69.1
,1962,12,69
,1963,01,69.2
,1963,02,69.2
,1963,03,69.4
,1963,04,69.5
,1963,05,69.5
,1963,06,69.4
,1963,07,69.4
,1963,08,69.3
,1963,09,69.3
,1963,10,69.5
,1963,11,69.8
,1963,12,69.6
,1964,01,69.5
,1964,02,69.5
,1964,03,69.5
,1964,04,69.9
,1964,05,69.9
,1964,06,69.7
,1964,07,69.5
,1964,08,69.6
,1964,09,69.4
,1964,10,69.4
,1964,11,69.4
,1964,12,69.6
,1965,01,69.8
,1965,02,69.7
,1965,03,69.7
,1965,04,69.7
,1965,05,69.9
,1965,06,70.1
,1965,07,70.1
,1965,08,70.1
,1965,09,69.8
,1965,10,69.9
,1965,11,69.9
,1965,12,70
,1966,01,70.1
,1966,02,69.9
,1966,03,70
,1966,04,70
,1966,05,70.2
,1966,06,70.2
,1966,07,70.2
,1966,08,70.3
,1966,09,70.6
,1966,10,70.7
,1966,11,70.8
,1966,12,70.7
,1967,01,70.6
,1967,02,70.6
,1967,03,70.5
,1967,04,70.7
,1967,05,70.6
,1967,06,70.8
,1967,07,70.9
,1967,08,71
,1967,09,71.1
,1967,10,71.3
,1967,11,71.1
,1967,12,71.3
,1968,01,70.7
,1968,02,71
,1968,03,71.1
,1968,04,71.1
,1968,05,71.3
,1968,06,71.3
,1968,07,71.2
,1968,08,71
,1968,09,71.1
,1968,10,71
,1968,11,71.2
,1968,12,71.2
,1969,01,71.3
,1969,02,71.5
,1969,03,71.4
,1969,04,71.3
,1969,05,71.4
,1969,06,71.6
,1969,07,71.5
,1969,08,71.8
,1969,09,71.8
,1969,10,71.8
,1969,11,71.7
,1969,12,71.9
,1970,01,72
,1970,02,72
,1970,03,72.2
,1970,04,72.3
,1970,05,71.9
,1970,06,72.1
,1970,07,72.2
,1970,08,72.1
,1970,09,71.8
,1970,10,72.1
,1970,11,72.2
,1970,12,72.1
,1971,01,72.1
,1971,02,72.1
,1971,03,71.9
,1971,04,71.9
,1971,05,72
,1971,06,72
,1971,07,71.9
,1971,08,72
,1971,09,72.1
,1971,10,72.1
,1971,11,72.2
,1971,12,72.1
,1972,01,72.1
,1972,02,72.1
